customer_id,invoice_id,invoice_date,quantity,unit_price
C01417,INV13905,2023-08-14,3,89.63
C01479,INV14606,2023-09-12,4,20.37
C01278,INV12501,2023-07-11,4,99.77
C01324,INV13043,2023-10-31,4,13.99
C01157,INV11367,2023-05-25,1,47.3
C01157,INV11379,2023-05-23,5,8.64
C01217,INV11926,2023-07-16,5,29.24
C01388,INV13575,2023-10-26,1,5.24
C01211,INV11804,2023-08-19,1,16.44
C01058,INV10501,2023-07-26,2,22.82
C01413,INV13880,2023-01-29,5,8.95
C01016,INV10093,2023-11-15,1,25.14
C01310,INV12890,2023-06-12,3,295.13
C01085,INV10715,2023-09-04,1,28.71
C01410,INV13854,2023-08-30,5,10.17
C01157,INV11366,2023-06-03,4,18.46
C01006,INV10029,2023-09-15,5,26.32
C01400,INV13697,2023-11-12,5,62.86
C01262,INV12358,2023-11-22,2,11.53
C01326,INV13049,2023-11-07,3,8.03
C01041,INV10366,2023-05-22,2,21.57
C01038,INV10304,2023-06-22,3,7.02
C01157,INV11366,2023-06-03,1,12.39
C01282,INV12556,2023-08-30,4,8.13
C01461,INV14421,2023-07-10,3,39.22
C01372,INV13440,2023-06-25,4,47.7
C01489,INV14687,2023-05-25,4,7.27
C01406,INV13756,2023-07-16,1,91.26
C01406,INV13751,2023-09-14,1,26.8
C01150,INV11326,2023-07-13,4,31.34
C01300,INV12757,2023-08-26,4,15.83
C01212,INV11825,2023-09-07,1,51.84
C01095,INV10784,2023-03-21,5,10.09
C01486,INV14678,2023-02-27,1,8.48
C01372,INV13433,2023-07-28,2,26.39
C01188,INV11564,2023-08-06,3,12.23
C01389,INV13586,2023-08-13,1,44.38
C01084,INV10705,2023-06-13,5,28.07
C01246,INV12174,2023-09-10,2,10.37
C01145,INV11232,2023-02-26,5,15.7
C01121,INV11027,2023-09-18,3,116.05
C01215,INV11887,2023-10-11,2,146.83
C01301,INV12775,2023-07-25,3,33.19
C01400,INV13697,2023-11-12,5,38.8
C01352,INV13277,2023-03-08,2,6.95
C01039,INV10321,2023-11-05,5,119.71
C01097,INV10792,2023-05-31,4,10.63
C01137,INV11159,2023-11-29,3,9.85
C01024,INV10207,2023-08-21,3,76.74
C01224,INV11957,2023-05-08,4,25.99
C01403,INV13737,2023-06-18,5,7.13
C01278,INV12504,2023-09-02,5,21.28
C01245,INV12167,2023-05-11,2,32.08
C01212,INV11815,2023-08-29,5,104.1
C01202,INV11706,2023-05-31,4,34.76
C01118,INV10990,2023-10-29,3,10.54
C01256,INV12296,2023-07-22,4,29.63
C01101,INV10830,2023-08-26,3,13.08
C01024,INV10226,2023-08-07,3,71.92
C01002,INV10014,2023-07-04,1,17.02
C01027,INV10240,2023-06-30,3,16.52
C01333,INV13104,2023-06-21,1,36.38
C01380,INV13513,2023-09-29,1,33.21
C01149,INV11304,2023-08-12,1,86.52
C01215,INV11896,2023-06-12,5,50.74
C01161,INV11404,2023-08-30,2,127.03
C01409,INV13812,2023-12-10,5,101.2
C01428,INV14021,2023-06-03,1,3.05
C01319,INV12960,2023-07-23,2,53.7
C01154,INV11345,2023-06-11,1,48.16
C01205,INV11742,2023-10-10,1,43.96
C01199,INV11681,2023-07-29,5,90.72
C01313,INV12916,2023-11-10,4,17.79
C01197,INV11638,2023-05-22,1,14.81
C01228,INV11995,2023-08-31,4,160.93
C01280,INV12537,2023-05-10,5,25.36
C01338,INV13167,2023-03-27,3,15.39
C01443,INV14187,2023-09-05,5,11.38
C01357,INV13338,2023-01-01,3,15.46
C01180,INV11507,2023-04-18,2,10.83
C01256,INV12295,2023-09-20,1,31.5
C01455,INV14333,2023-08-20,4,55.79
C01318,INV12956,2023-05-24,2,20.83
C01271,INV12422,2023-04-28,2,48.41
C01237,INV12100,2023-10-12,2,42.79
C01420,INV13957,2023-02-02,2,5.22
C01167,INV11437,2023-01-01,5,7.62
C01246,INV12175,2023-10-13,3,37.39
C01437,INV14143,2023-06-16,4,23.56
C01409,INV13829,2023-10-22,5,103.41
C01212,INV11833,2023-08-05,1,45.17
C01485,INV14673,2023-04-14,4,7.67
C01021,INV10161,2023-07-31,4,14.7
C01339,INV13175,2023-05-06,4,16.72
C01150,INV11313,2023-06-10,3,10.08
C01400,INV13704,2023-09-22,4,18.33
C01431,INV14068,2023-11-05,1,36.21
C01157,INV11373,2023-04-27,2,31.56
C01101,INV10822,2023-04-05,5,8.07
C01129,INV11104,2023-06-20,4,28.83
C01339,INV13179,2023-08-12,1,9.75
C01125,INV11060,2023-12-11,3,40.91
C01319,INV12984,2023-10-31,1,444.47
C01459,INV14375,2023-06-17,1,12.0
C01008,INV10042,2023-04-22,1,17.46
C01477,INV14591,2023-10-23,3,80.31
C01074,INV10623,2023-08-09,1,9.6
C01273,INV12443,2023-05-29,1,16.07
C01216,INV11915,2023-09-15,4,10.37
C01070,INV10589,2023-10-02,5,60.19
